scenario,type,id,x,y,z
scenario_01_baseline,gateway,0,0.00,0.00,15.00
scenario_01_baseline,enddevice,0,316.45,-1426.34,1.50
scenario_01_baseline,enddevice,1,-961.76,588.33,1.50
scenario_01_baseline,enddevice,2,2176.91,-852.15,1.50
scenario_01_baseline,enddevice,3,1777.99,1208.34,1.50
scenario_01_baseline,enddevice,4,-864.46,-141.42,1.50
scenario_01_baseline,enddevice,5,-2176.11,1116.37,1.50
scenario_01_baseline,enddevice,6,-2002.80,1813.40,1.50
scenario_01_baseline,enddevice,7,2095.81,-1137.90,1.50
scenario_01_baseline,enddevice,8,212.40,-729.93,1.50
scenario_01_baseline,enddevice,9,-246.21,1940.17,1.50
scenario_01_baseline,enddevice,10,430.12,-759.77,1.50
scenario_01_baseline,enddevice,11,-1866.17,-2360.33,1.50
scenario_01_baseline,enddevice,12,-2092.32,-427.84,1.50
scenario_01_baseline,enddevice,13,219.09,2219.14,1.50
scenario_01_baseline,enddevice,14,897.14,1990.08,1.50
scenario_01_baseline,enddevice,15,-767.72,1625.51,1.50
scenario_01_baseline,enddevice,16,-439.94,-1580.23,1.50
scenario_01_baseline,enddevice,17,1923.29,-2342.63,1.50
scenario_01_baseline,enddevice,18,2233.39,1898.91,1.50
scenario_01_baseline,enddevice,19,2149.52,-106.76,1.50
scenario_01_baseline,enddevice,20,-1854.83,708.74,1.50
scenario_01_baseline,enddevice,21,-1096.64,-2168.48,1.50
scenario_01_baseline,enddevice,22,-397.30,935.61,1.50
scenario_01_baseline,enddevice,23,-1885.04,-2459.68,1.50
scenario_01_baseline,enddevice,24,-1007.98,-1781.32,1.50
scenario_01_baseline,enddevice,25,-1971.07,974.62,1.50
scenario_01_baseline,enddevice,26,-2323.10,-1937.01,1.50
scenario_01_baseline,enddevice,27,1357.24,2161.93,1.50
scenario_01_baseline,enddevice,28,295.49,-878.03,1.50
scenario_01_baseline,enddevice,29,1713.37,-1579.07,1.50
scenario_01_baseline,enddevice,30,2080.37,1151.09,1.50
scenario_01_baseline,enddevice,31,1556.75,159.09,1.50
scenario_01_baseline,enddevice,32,-592.86,-2046.93,1.50
scenario_01_baseline,enddevice,33,-1802.34,-2255.05,1.50
scenario_01_baseline,enddevice,34,-617.69,-48.76,1.50
scenario_01_baseline,enddevice,35,1632.71,849.10,1.50
scenario_01_baseline,enddevice,36,-826.69,2129.75,1.50
scenario_01_baseline,enddevice,37,-151.46,-85.23,1.50
scenario_01_baseline,enddevice,38,-1612.74,-1973.76,1.50
scenario_01_baseline,enddevice,39,-2225.96,-2488.59,1.50
scenario_01_baseline,enddevice,40,-1319.97,-1947.89,1.50
scenario_01_baseline,enddevice,41,-2187.97,-1830.21,1.50
scenario_01_baseline,enddevice,42,1815.71,-1459.16,1.50
scenario_01_baseline,enddevice,43,1953.86,1722.02,1.50
scenario_01_baseline,enddevice,44,-573.29,-47.99,1.50
scenario_01_baseline,enddevice,45,67.22,1589.81,1.50
scenario_01_baseline,enddevice,46,-2155.02,-1966.45,1.50
scenario_01_baseline,enddevice,47,2219.46,-1423.88,1.50
scenario_01_baseline,enddevice,48,-120.80,710.09,1.50
scenario_01_baseline,enddevice,49,-1593.47,1241.58,1.50
scenario_01_baseline,enddevice,50,-976.25,1850.56,1.50
scenario_01_baseline,enddevice,51,411.51,-2060.06,1.50
scenario_01_baseline,enddevice,52,-2277.22,-949.96,1.50
scenario_01_baseline,enddevice,53,-975.08,921.04,1.50
scenario_01_baseline,enddevice,54,564.96,-178.00,1.50
scenario_01_baseline,enddevice,55,-2487.90,-2404.04,1.50
scenario_01_baseline,enddevice,56,1944.04,705.85,1.50
scenario_01_baseline,enddevice,57,172.63,-897.55,1.50
scenario_01_baseline,enddevice,58,-1409.86,2027.13,1.50
scenario_01_baseline,enddevice,59,1843.28,-805.70,1.50
scenario_01_baseline,enddevice,60,813.71,822.18,1.50
scenario_01_baseline,enddevice,61,-801.78,-775.67,1.50
scenario_01_baseline,enddevice,62,1511.15,36.78,1.50
scenario_01_baseline,enddevice,63,-74.50,911.61,1.50
scenario_01_baseline,enddevice,64,-1374.68,-2404.32,1.50
scenario_01_baseline,enddevice,65,-530.87,1700.68,1.50
scenario_01_baseline,enddevice,66,-917.36,-1459.05,1.50
scenario_01_baseline,enddevice,67,944.06,607.73,1.50
