scenario,type,id,x,y,z
scenario_01_baseline,gateway,0,0.00,0.00,15.00
scenario_01_baseline,enddevice,0,253.16,-1141.07,1.50
scenario_01_baseline,enddevice,1,-769.41,470.66,1.50
scenario_01_baseline,enddevice,2,1741.53,-681.72,1.50
scenario_01_baseline,enddevice,3,1422.39,966.67,1.50
scenario_01_baseline,enddevice,4,-691.57,-113.13,1.50
scenario_01_baseline,enddevice,5,-1740.89,893.10,1.50
scenario_01_baseline,enddevice,6,-1602.24,1450.72,1.50
scenario_01_baseline,enddevice,7,1676.65,-910.32,1.50
scenario_01_baseline,enddevice,8,169.92,-583.94,1.50
scenario_01_baseline,enddevice,9,-196.97,1552.13,1.50
scenario_01_baseline,enddevice,10,344.09,-607.81,1.50
scenario_01_baseline,enddevice,11,-1492.94,-1888.27,1.50
scenario_01_baseline,enddevice,12,-1673.85,-342.27,1.50
scenario_01_baseline,enddevice,13,175.27,1775.31,1.50
scenario_01_baseline,enddevice,14,717.71,1592.06,1.50
scenario_01_baseline,enddevice,15,-614.18,1300.41,1.50
scenario_01_baseline,enddevice,16,-351.95,-1264.19,1.50
scenario_01_baseline,enddevice,17,1538.63,-1874.11,1.50
scenario_01_baseline,enddevice,18,1786.71,1519.13,1.50
scenario_01_baseline,enddevice,19,1719.62,-85.41,1.50
scenario_01_baseline,enddevice,20,-1483.86,566.99,1.50
scenario_01_baseline,enddevice,21,-877.31,-1734.78,1.50
scenario_01_baseline,enddevice,22,-317.84,748.49,1.50
scenario_01_baseline,enddevice,23,-1508.03,-1967.74,1.50
scenario_01_baseline,enddevice,24,-806.38,-1425.05,1.50
scenario_01_baseline,enddevice,25,-1576.86,779.69,1.50
scenario_01_baseline,enddevice,26,-1858.48,-1549.61,1.50
scenario_01_baseline,enddevice,27,1085.79,1729.54,1.50
scenario_01_baseline,enddevice,28,236.39,-702.42,1.50
scenario_01_baseline,enddevice,29,1370.69,-1263.25,1.50
scenario_01_baseline,enddevice,30,1664.29,920.87,1.50
scenario_01_baseline,enddevice,31,1245.40,127.27,1.50
scenario_01_baseline,enddevice,32,-474.29,-1637.55,1.50
scenario_01_baseline,enddevice,33,-1441.87,-1804.04,1.50
scenario_01_baseline,enddevice,34,-494.15,-39.01,1.50
scenario_01_baseline,enddevice,35,1306.17,679.28,1.50
scenario_01_baseline,enddevice,36,-661.35,1703.80,1.50
scenario_01_baseline,enddevice,37,-121.17,-68.19,1.50
scenario_01_baseline,enddevice,38,-1290.19,-1579.00,1.50
scenario_01_baseline,enddevice,39,-1780.77,-1990.87,1.50
scenario_01_baseline,enddevice,40,-1055.97,-1558.31,1.50
scenario_01_baseline,enddevice,41,-1750.38,-1464.16,1.50
scenario_01_baseline,enddevice,42,1452.57,-1167.33,1.50
scenario_01_baseline,enddevice,43,1563.09,1377.62,1.50
scenario_01_baseline,enddevice,44,-458.63,-38.40,1.50
scenario_01_baseline,enddevice,45,53.77,1271.85,1.50
scenario_01_baseline,enddevice,46,-1724.01,-1573.16,1.50
scenario_01_baseline,enddevice,47,1775.57,-1139.11,1.50
scenario_01_baseline,enddevice,48,-96.64,568.07,1.50
scenario_01_baseline,enddevice,49,-1274.77,993.26,1.50
scenario_01_baseline,enddevice,50,-781.00,1480.45,1.50
scenario_01_baseline,enddevice,51,329.21,-1648.05,1.50
scenario_01_baseline,enddevice,52,-1821.78,-759.97,1.50
scenario_01_baseline,enddevice,53,-780.06,736.83,1.50
scenario_01_baseline,enddevice,54,451.97,-142.40,1.50
scenario_01_baseline,enddevice,55,-1990.32,-1923.23,1.50
scenario_01_baseline,enddevice,56,1555.23,564.68,1.50
scenario_01_baseline,enddevice,57,138.11,-718.04,1.50
scenario_01_baseline,enddevice,58,-1127.89,1621.70,1.50
scenario_01_baseline,enddevice,59,1474.62,-644.56,1.50
scenario_01_baseline,enddevice,60,650.96,657.74,1.50
scenario_01_baseline,enddevice,61,-641.43,-620.54,1.50
scenario_01_baseline,enddevice,62,1208.92,29.42,1.50
scenario_01_baseline,enddevice,63,-59.60,729.29,1.50
scenario_01_baseline,enddevice,64,-1099.75,-1923.46,1.50
scenario_01_baseline,enddevice,65,-424.70,1360.54,1.50
scenario_01_baseline,enddevice,66,-733.89,-1167.24,1.50
scenario_01_baseline,enddevice,67,755.25,486.18,1.50
scenario_01_baseline,enddevice,68,-1989.64,567.84,1.50
scenario_01_baseline,enddevice,69,1636.39,1167.92,1.50
scenario_01_baseline,enddevice,70,-22.01,534.82,1.50
scenario_01_baseline,enddevice,71,-171.68,1615.61,1.50
scenario_01_baseline,enddevice,72,1183.43,1699.27,1.50
scenario_01_baseline,enddevice,73,-634.30,1551.44,1.50
scenario_01_baseline,enddevice,74,-466.34,-1619.30,1.50
scenario_01_baseline,enddevice,75,-307.42,-730.58,1.50
scenario_01_baseline,enddevice,76,-1229.07,950.91,1.50
scenario_01_baseline,enddevice,77,-625.82,415.18,1.50
scenario_01_baseline,enddevice,78,-1396.23,861.10,1.50
scenario_01_baseline,enddevice,79,-990.59,-820.25,1.50
scenario_01_baseline,enddevice,80,888.93,-1211.16,1.50
scenario_01_baseline,enddevice,81,1395.35,1652.15,1.50
scenario_01_baseline,enddevice,82,1575.63,-1922.90,1.50
scenario_01_baseline,enddevice,83,-1789.48,-815.96,1.50
scenario_01_baseline,enddevice,84,-340.27,-208.44,1.50
scenario_01_baseline,enddevice,85,-1554.14,-1477.70,1.50
scenario_01_baseline,enddevice,86,-930.06,1637.95,1.50
scenario_01_baseline,enddevice,87,101.21,1539.30,1.50
scenario_01_baseline,enddevice,88,1968.46,1171.90,1.50
scenario_01_baseline,enddevice,89,-844.66,194.45,1.50
scenario_01_baseline,enddevice,90,-1064.27,445.19,1.50
scenario_01_baseline,enddevice,91,-210.09,-840.92,1.50
scenario_01_baseline,enddevice,92,222.01,1790.07,1.50
scenario_01_baseline,enddevice,93,-1740.98,429.81,1.50
scenario_01_baseline,enddevice,94,-432.04,-1841.99,1.50
scenario_01_baseline,enddevice,95,-1461.71,-831.10,1.50
scenario_01_baseline,enddevice,96,-556.57,-1960.34,1.50
scenario_01_baseline,enddevice,97,-1952.32,-82.78,1.50
scenario_01_baseline,enddevice,98,-69.88,-319.83,1.50
scenario_01_baseline,enddevice,99,803.59,-202.31,1.50
scenario_02_adr,gateway,0,0.00,0.00,15.00
scenario_02_adr,enddevice,0,253.16,-1141.07,1.50
scenario_02_adr,enddevice,1,-769.41,470.66,1.50
scenario_02_adr,enddevice,2,1741.53,-681.72,1.50
scenario_02_adr,enddevice,3,1422.39,966.67,1.50
scenario_02_adr,enddevice,4,-691.57,-113.13,1.50
scenario_02_adr,enddevice,5,-1740.89,893.10,1.50
scenario_02_adr,enddevice,6,-1602.24,1450.72,1.50
scenario_02_adr,enddevice,7,1676.65,-910.32,1.50
scenario_02_adr,enddevice,8,169.92,-583.94,1.50
scenario_02_adr,enddevice,9,-196.97,1552.13,1.50
scenario_02_adr,enddevice,10,344.09,-607.81,1.50
scenario_02_adr,enddevice,11,-1492.94,-1888.27,1.50
scenario_02_adr,enddevice,12,-1673.85,-342.27,1.50
scenario_02_adr,enddevice,13,175.27,1775.31,1.50
scenario_02_adr,enddevice,14,717.71,1592.06,1.50
scenario_02_adr,enddevice,15,-614.18,1300.41,1.50
scenario_02_adr,enddevice,16,-351.95,-1264.19,1.50
scenario_02_adr,enddevice,17,1538.63,-1874.11,1.50
scenario_02_adr,enddevice,18,1786.71,1519.13,1.50
scenario_02_adr,enddevice,19,1719.62,-85.41,1.50
scenario_02_adr,enddevice,20,-1483.86,566.99,1.50
scenario_02_adr,enddevice,21,-877.31,-1734.78,1.50
scenario_02_adr,enddevice,22,-317.84,748.49,1.50
scenario_02_adr,enddevice,23,-1508.03,-1967.74,1.50
scenario_02_adr,enddevice,24,-806.38,-1425.05,1.50
scenario_02_adr,enddevice,25,-1576.86,779.69,1.50
scenario_02_adr,enddevice,26,-1858.48,-1549.61,1.50
scenario_02_adr,enddevice,27,1085.79,1729.54,1.50
scenario_02_adr,enddevice,28,236.39,-702.42,1.50
scenario_02_adr,enddevice,29,1370.69,-1263.25,1.50
scenario_02_adr,enddevice,30,1664.29,920.87,1.50
scenario_02_adr,enddevice,31,1245.40,127.27,1.50
scenario_02_adr,enddevice,32,-474.29,-1637.55,1.50
scenario_02_adr,enddevice,33,-1441.87,-1804.04,1.50
scenario_02_adr,enddevice,34,-494.15,-39.01,1.50
scenario_02_adr,enddevice,35,1306.17,679.28,1.50
scenario_02_adr,enddevice,36,-661.35,1703.80,1.50
scenario_02_adr,enddevice,37,-121.17,-68.19,1.50
scenario_02_adr,enddevice,38,-1290.19,-1579.00,1.50
scenario_02_adr,enddevice,39,-1780.77,-1990.87,1.50
scenario_02_adr,enddevice,40,-1055.97,-1558.31,1.50
scenario_02_adr,enddevice,41,-1750.38,-1464.16,1.50
scenario_02_adr,enddevice,42,1452.57,-1167.33,1.50
scenario_02_adr,enddevice,43,1563.09,1377.62,1.50
scenario_02_adr,enddevice,44,-458.63,-38.40,1.50
scenario_02_adr,enddevice,45,53.77,1271.85,1.50
scenario_02_adr,enddevice,46,-1724.01,-1573.16,1.50
scenario_02_adr,enddevice,47,1775.57,-1139.11,1.50
scenario_02_adr,enddevice,48,-96.64,568.07,1.50
scenario_02_adr,enddevice,49,-1274.77,993.26,1.50
scenario_02_adr,enddevice,50,-781.00,1480.45,1.50
scenario_02_adr,enddevice,51,329.21,-1648.05,1.50
scenario_02_adr,enddevice,52,-1821.78,-759.97,1.50
scenario_02_adr,enddevice,53,-780.06,736.83,1.50
scenario_02_adr,enddevice,54,451.97,-142.40,1.50
scenario_02_adr,enddevice,55,-1990.32,-1923.23,1.50
scenario_02_adr,enddevice,56,1555.23,564.68,1.50
scenario_02_adr,enddevice,57,138.11,-718.04,1.50
scenario_02_adr,enddevice,58,-1127.89,1621.70,1.50
scenario_02_adr,enddevice,59,1474.62,-644.56,1.50
scenario_02_adr,enddevice,60,650.96,657.74,1.50
scenario_02_adr,enddevice,61,-641.43,-620.54,1.50
scenario_02_adr,enddevice,62,1208.92,29.42,1.50
scenario_02_adr,enddevice,63,-59.60,729.29,1.50
scenario_02_adr,enddevice,64,-1099.75,-1923.46,1.50
scenario_02_adr,enddevice,65,-424.70,1360.54,1.50
scenario_02_adr,enddevice,66,-733.89,-1167.24,1.50
scenario_02_adr,enddevice,67,755.25,486.18,1.50
scenario_02_adr,enddevice,68,-1989.64,567.84,1.50
scenario_02_adr,enddevice,69,1636.39,1167.92,1.50
scenario_02_adr,enddevice,70,-22.01,534.82,1.50
scenario_02_adr,enddevice,71,-171.68,1615.61,1.50
scenario_02_adr,enddevice,72,1183.43,1699.27,1.50
scenario_02_adr,enddevice,73,-634.30,1551.44,1.50
scenario_02_adr,enddevice,74,-466.34,-1619.30,1.50
scenario_02_adr,enddevice,75,-307.42,-730.58,1.50
scenario_02_adr,enddevice,76,-1229.07,950.91,1.50
scenario_02_adr,enddevice,77,-625.82,415.18,1.50
scenario_02_adr,enddevice,78,-1396.23,861.10,1.50
scenario_02_adr,enddevice,79,-990.59,-820.25,1.50
scenario_02_adr,enddevice,80,888.93,-1211.16,1.50
scenario_02_adr,enddevice,81,1395.35,1652.15,1.50
scenario_02_adr,enddevice,82,1575.63,-1922.90,1.50
scenario_02_adr,enddevice,83,-1789.48,-815.96,1.50
scenario_02_adr,enddevice,84,-340.27,-208.44,1.50
scenario_02_adr,enddevice,85,-1554.14,-1477.70,1.50
scenario_02_adr,enddevice,86,-930.06,1637.95,1.50
scenario_02_adr,enddevice,87,101.21,1539.30,1.50
scenario_02_adr,enddevice,88,1968.46,1171.90,1.50
scenario_02_adr,enddevice,89,-844.66,194.45,1.50
scenario_02_adr,enddevice,90,-1064.27,445.19,1.50
scenario_02_adr,enddevice,91,-210.09,-840.92,1.50
scenario_02_adr,enddevice,92,222.01,1790.07,1.50
scenario_02_adr,enddevice,93,-1740.98,429.81,1.50
scenario_02_adr,enddevice,94,-432.04,-1841.99,1.50
scenario_02_adr,enddevice,95,-1461.71,-831.10,1.50
scenario_02_adr,enddevice,96,-556.57,-1960.34,1.50
scenario_02_adr,enddevice,97,-1952.32,-82.78,1.50
scenario_02_adr,enddevice,98,-69.88,-319.83,1.50
scenario_02_adr,enddevice,99,803.59,-202.31,1.50
scenario_04_confirmed,gateway,0,0.00,0.00,15.00
scenario_04_confirmed,enddevice,0,253.16,-1141.07,1.50
scenario_04_confirmed,enddevice,1,-769.41,470.66,1.50
scenario_04_confirmed,enddevice,2,1741.53,-681.72,1.50
scenario_04_confirmed,enddevice,3,1422.39,966.67,1.50
scenario_04_confirmed,enddevice,4,-691.57,-113.13,1.50
scenario_04_confirmed,enddevice,5,-1740.89,893.10,1.50
scenario_04_confirmed,enddevice,6,-1602.24,1450.72,1.50
scenario_04_confirmed,enddevice,7,1676.65,-910.32,1.50
scenario_04_confirmed,enddevice,8,169.92,-583.94,1.50
scenario_04_confirmed,enddevice,9,-196.97,1552.13,1.50
scenario_04_confirmed,enddevice,10,344.09,-607.81,1.50
scenario_04_confirmed,enddevice,11,-1492.94,-1888.27,1.50
scenario_04_confirmed,enddevice,12,-1673.85,-342.27,1.50
