scenario,type,id,x,y,z
scenario_01_baseline,gateway,0,0.00,0.00,15.00
scenario_01_baseline,enddevice,0,189.87,-855.81,1.50
scenario_01_baseline,enddevice,1,-577.06,353.00,1.50
scenario_01_baseline,enddevice,2,1306.15,-511.29,1.50
scenario_01_baseline,enddevice,3,1066.80,725.00,1.50
scenario_01_baseline,enddevice,4,-518.67,-84.85,1.50
scenario_01_baseline,enddevice,5,-1305.67,669.82,1.50
scenario_01_baseline,enddevice,6,-1201.68,1088.04,1.50
scenario_01_baseline,enddevice,7,1257.48,-682.74,1.50
scenario_01_baseline,enddevice,8,127.44,-437.96,1.50
scenario_01_baseline,enddevice,9,-147.73,1164.10,1.50
scenario_01_baseline,enddevice,10,258.07,-455.86,1.50
scenario_01_baseline,enddevice,11,-1119.70,-1416.20,1.50
scenario_01_baseline,enddevice,12,-1255.39,-256.71,1.50
scenario_01_baseline,enddevice,13,131.46,1331.49,1.50
scenario_01_baseline,enddevice,14,538.29,1194.05,1.50
scenario_01_baseline,enddevice,15,-460.63,975.31,1.50
scenario_01_baseline,enddevice,16,-263.96,-948.14,1.50
scenario_01_baseline,enddevice,17,1153.97,-1405.58,1.50
scenario_01_baseline,enddevice,18,1340.04,1139.35,1.50
scenario_01_baseline,enddevice,19,1289.71,-64.05,1.50
scenario_01_baseline,enddevice,20,-1112.90,425.25,1.50
scenario_01_baseline,enddevice,21,-657.98,-1301.09,1.50
scenario_01_baseline,enddevice,22,-238.38,561.37,1.50
scenario_01_baseline,enddevice,23,-1131.02,-1475.81,1.50
scenario_01_baseline,enddevice,24,-604.79,-1068.79,1.50
scenario_01_baseline,enddevice,25,-1182.64,584.77,1.50
scenario_01_baseline,enddevice,26,-1393.86,-1162.20,1.50
scenario_01_baseline,enddevice,27,814.34,1297.16,1.50
scenario_01_baseline,enddevice,28,177.29,-526.82,1.50
scenario_01_baseline,enddevice,29,1028.02,-947.44,1.50
scenario_01_baseline,enddevice,30,1248.22,690.65,1.50
scenario_01_baseline,enddevice,31,934.05,95.45,1.50
scenario_01_baseline,enddevice,32,-355.72,-1228.16,1.50
scenario_01_baseline,enddevice,33,-1081.40,-1353.03,1.50
scenario_01_baseline,enddevice,34,-370.61,-29.26,1.50
scenario_01_baseline,enddevice,35,979.63,509.46,1.50
scenario_01_baseline,enddevice,36,-496.01,1277.85,1.50
scenario_01_baseline,enddevice,37,-90.87,-51.14,1.50
scenario_01_baseline,enddevice,38,-967.65,-1184.25,1.50
scenario_01_baseline,enddevice,39,-1335.58,-1493.15,1.50
scenario_01_baseline,enddevice,40,-791.98,-1168.73,1.50
scenario_01_baseline,enddevice,41,-1312.78,-1098.12,1.50
scenario_01_baseline,enddevice,42,1089.43,-875.49,1.50
scenario_01_baseline,enddevice,43,1172.32,1033.21,1.50
scenario_01_baseline,enddevice,44,-343.97,-28.80,1.50
scenario_01_baseline,enddevice,45,40.33,953.88,1.50
scenario_01_baseline,enddevice,46,-1293.01,-1179.87,1.50
scenario_01_baseline,enddevice,47,1331.68,-854.33,1.50
scenario_01_baseline,enddevice,48,-72.48,426.06,1.50
scenario_01_baseline,enddevice,49,-956.08,744.95,1.50
scenario_01_baseline,enddevice,50,-585.75,1110.34,1.50
scenario_01_baseline,enddevice,51,246.90,-1236.03,1.50
scenario_01_baseline,enddevice,52,-1366.33,-569.98,1.50
scenario_01_baseline,enddevice,53,-585.05,552.62,1.50
scenario_01_baseline,enddevice,54,338.98,-106.80,1.50
scenario_01_baseline,enddevice,55,-1492.74,-1442.42,1.50
scenario_01_baseline,enddevice,56,1166.43,423.51,1.50
scenario_01_baseline,enddevice,57,103.58,-538.53,1.50
scenario_01_baseline,enddevice,58,-845.91,1216.28,1.50
scenario_01_baseline,enddevice,59,1105.97,-483.42,1.50
scenario_01_baseline,enddevice,60,488.22,493.31,1.50
scenario_01_baseline,enddevice,61,-481.07,-465.40,1.50
scenario_01_baseline,enddevice,62,906.69,22.07,1.50
scenario_01_baseline,enddevice,63,-44.70,546.97,1.50
scenario_01_baseline,enddevice,64,-824.81,-1442.59,1.50
scenario_01_baseline,enddevice,65,-318.52,1020.41,1.50
scenario_01_baseline,enddevice,66,-550.41,-875.43,1.50
scenario_01_baseline,enddevice,67,566.44,364.64,1.50
scenario_01_baseline,enddevice,68,-1492.23,425.88,1.50
scenario_01_baseline,enddevice,69,1227.29,875.94,1.50
scenario_01_baseline,enddevice,70,-16.51,401.12,1.50
scenario_01_baseline,enddevice,71,-128.76,1211.71,1.50
scenario_01_baseline,enddevice,72,887.57,1274.45,1.50
scenario_01_baseline,enddevice,73,-475.72,1163.58,1.50
scenario_01_baseline,enddevice,74,-349.75,-1214.48,1.50
scenario_01_baseline,enddevice,75,-230.57,-547.93,1.50
